CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
KUKZ,21-Oct-20,Kakuzi Plc,300,397,380,380,380,380,-,-,-,-,21-10-2020,2020-10-21,Agricultural,Kakuzi Plc
KUKZ,25-Sep-20,Kakuzi Plc,300,397,385,385,385,385,-,-,-,-,25-09-2020,2020-09-25,Agricultural,Kakuzi Plc
KUKZ,26-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,26-11-2020,2020-11-26,Agricultural,Kakuzi Plc
KUKZ,14-Aug-20,Kakuzi Plc,300,397,391,391,391,391,-,-,-,-,14-08-2020,2020-08-14,Agricultural,Kakuzi Plc
KUKZ,20-Aug-20,Kakuzi Plc,300,397,385.25,385.25,385.25,385.25,-,-,-,-,20-08-2020,2020-08-20,Agricultural,Kakuzi Plc
KUKZ,28-Oct-20,Kakuzi Plc,300,397,370,370,370,375,-5,1.33%,100,-,28-10-2020,2020-10-28,Agricultural,Kakuzi Plc
KUKZ,12-Aug-20,Kakuzi Plc,300,397,397,397,397,397,-,-,100,-,12-08-2020,2020-08-12,Agricultural,Kakuzi Plc
KUKZ,30-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,30-11-2020,2020-11-30,Agricultural,Kakuzi Plc
KUKZ,23-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,100,-,23-11-2020,2020-11-23,Agricultural,Kakuzi Plc
KUKZ,12-Oct-20,Kakuzi Plc,300,397,380,380,380,385,-5,1.30%,100,-,12-10-2020,2020-10-12,Agricultural,Kakuzi Plc
KUKZ,29-Oct-20,Kakuzi Plc,300,397,370,370,370,370,-,-,100,-,29-10-2020,2020-10-29,Agricultural,Kakuzi Plc
KUKZ,02-Dec-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,02-12-2020,2020-12-02,Agricultural,Kakuzi Plc
KUKZ,09-Jul-20,Kakuzi Plc,300,397,325,325,325,325,-,-,-,-,09-07-2020,2020-07-09,Agricultural,Kakuzi Plc
KUKZ,04-Dec-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,04-12-2020,2020-12-04,Agricultural,Kakuzi Plc
KUKZ,06-Aug-20,Kakuzi Plc,300,397,375,375,375,395.75,-20.75,5.24%,100,-,06-08-2020,2020-08-06,Agricultural,Kakuzi Plc
KUKZ,23-Sep-20,Kakuzi Plc,300,397,385,385,385,385,-,-,-,-,23-09-2020,2020-09-23,Agricultural,Kakuzi Plc
KUKZ,20-May-20,Kakuzi Plc,300,423.5,360,360,360,341,19,5.57%,200,-,20-05-2020,2020-05-20,Agricultural,Kakuzi Plc
KUKZ,12-Jun-20,Kakuzi Plc,300,423.5,330,330,330,330,-,-,-,-,12-06-2020,2020-06-12,Agricultural,Kakuzi Plc
KUKZ,05-Jun-20,Kakuzi Plc,300,423.5,330,330,330,321,9,2.80%,200,-,05-06-2020,2020-06-05,Agricultural,Kakuzi Plc
KUKZ,18-Mar-20,Kakuzi Plc,300,423.5,320,320,320,319.75,0.25,0.08%,"2,600",-,18-03-2020,2020-03-18,Agricultural,Kakuzi Plc
KUKZ,15-Jun-20,Kakuzi Plc,300,423.5,330,330,330,330,-,-,-,-,15-06-2020,2020-06-15,Agricultural,Kakuzi Plc
KUKZ,29-Dec-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,29-12-2020,2020-12-29,Agricultural,Kakuzi Plc
KUKZ,01-Dec-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,01-12-2020,2020-12-01,Agricultural,Kakuzi Plc
KUKZ,18-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,18-11-2020,2020-11-18,Agricultural,Kakuzi Plc
KUKZ,07-Apr-20,Kakuzi Plc,300,423.5,301,301,301,301,-,-,-,-,07-04-2020,2020-04-07,Agricultural,Kakuzi Plc
KUKZ,27-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,27-11-2020,2020-11-27,Agricultural,Kakuzi Plc
KUKZ,09-Jan-20,Kakuzi Plc,300,423.5,360,360,360,340,20,5.88%,100,-,09-01-2020,2020-01-09,Agricultural,Kakuzi Plc
KUKZ,16-Jun-20,Kakuzi Plc,300,423.5,320,332,321.75,330,-8.25,2.50%,"3,500",-,16-06-2020,2020-06-16,Agricultural,Kakuzi Plc
KUKZ,28-Jan-20,Kakuzi Plc,300,423.5,310,310,310,310,-,-,100,-,28-01-2020,2020-01-28,Agricultural,Kakuzi Plc
KUKZ,24-Jun-20,Kakuzi Plc,300,423.5,340,340,340,340,-,-,-,-,24-06-2020,2020-06-24,Agricultural,Kakuzi Plc
KUKZ,13-Aug-20,Kakuzi Plc,300,397,391,391,391,397,-6,1.51%,100,-,13-08-2020,2020-08-13,Agricultural,Kakuzi Plc
