CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
UNGA,15-May-19,Unga Group Ltd,26.1,36.5,34,34,34,33.75,0.25,0.74%,"1,500",-,15-05-2019,2019-05-15,Manufacturing and Allied,Unga Group Ltd
UNGA,01-Mar-19,Unga Group Ltd,26.1,37,36.2,38,36.8,36.2,0.6,1.66%,"1,500",-,01-03-2019,2019-03-01,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Dec-20,Unga Group Ltd,26.1,35,31,31,31,31,-,-,-,-,07-12-2020,2020-12-07,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Oct-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,500,-,06-10-2020,2020-10-06,Manufacturing and Allied,Unga Group Ltd
UNGA,28-May-20,Unga Group Ltd,26.1,37,27.4,27.4,27.4,27.4,-,-,-,-,28-05-2020,2020-05-28,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Nov-19,Unga Group Ltd,26.1,37,34.05,34.05,34.05,34.05,-,-,-,-,25-11-2019,2019-11-25,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Jul-20,Unga Group Ltd,26.1,34.05,29.85,29.85,29.85,29.85,-,-,-,-,10-07-2020,2020-07-10,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Jul-20,Unga Group Ltd,26.1,34.05,28.05,28.05,28.05,28.05,-,-,400,-,14-07-2020,2020-07-14,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,07-08-2019,2019-08-07,Manufacturing and Allied,Unga Group Ltd
UNGA,29-Oct-19,Unga Group Ltd,26.1,37,33.9,33.9,33.9,33.9,-,-,-,-,29-10-2019,2019-10-29,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Mar-19,Unga Group Ltd,26.1,36.5,35,35,35,35,-,-,-,-,07-03-2019,2019-03-07,Manufacturing and Allied,Unga Group Ltd
UNGA,13-Sep-19,Unga Group Ltd,26.1,37,31.5,32,31.9,32,-0.1,0.31%,500,-,13-09-2019,2019-09-13,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Dec-20,Unga Group Ltd,26.1,34.05,31,31,31,30,1,3.33%,100,-,17-12-2020,2020-12-17,Manufacturing and Allied,Unga Group Ltd
UNGA,29-Apr-20,Unga Group Ltd,26.1,37,28,28,28,28,-,-,-,-,29-04-2020,2020-04-29,Manufacturing and Allied,Unga Group Ltd
UNGA,06-May-19,Unga Group Ltd,26.1,37,35,35,35,34.3,0.7,2.04%,100,-,06-05-2019,2019-05-06,Manufacturing and Allied,Unga Group Ltd
UNGA,02-Jan-20,Unga Group Ltd,26.1,37,34,34,34,34,-,-,-,-,02-01-2020,2020-01-02,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Sep-19,Unga Group Ltd,26.1,37,35,35,35,35,-,-,100,-,04-09-2019,2019-09-04,Manufacturing and Allied,Unga Group Ltd
UNGA,31-Dec-19,Unga Group Ltd,26.1,37,34,34,34,34,-,-,-,-,31-12-2019,2019-12-31,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,08-08-2019,2019-08-08,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Mar-19,Unga Group Ltd,26.1,36.5,36,36,36,35,1,2.86%,"2,000",-,08-03-2019,2019-03-08,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Aug-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,-,-,05-08-2020,2020-08-05,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Jun-20,Unga Group Ltd,26.1,36.5,28.75,28.75,28.75,28.75,-,-,-,-,22-06-2020,2020-06-22,Manufacturing and Allied,Unga Group Ltd
UNGA,27-Oct-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,27-10-2020,2020-10-27,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Aug-20,Unga Group Ltd,26.1,35,33,33,33,33,-,-,-,-,28-08-2020,2020-08-28,Manufacturing and Allied,Unga Group Ltd
UNGA,20-Sep-19,Unga Group Ltd,26.1,37,35,35,35,31.9,3.1,9.72%,200,-,20-09-2019,2019-09-20,Manufacturing and Allied,Unga Group Ltd
UNGA,27-Jan-20,Unga Group Ltd,26.1,36.5,31,31,31,31,-,-,-,-,27-01-2020,2020-01-27,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Jan-19,Unga Group Ltd,26.1,36.5,37.5,39,38.25,39,-0.75,1.92%,200,-,30-01-2019,2019-01-30,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Jul-20,Unga Group Ltd,26.1,35,30,30,30,28,2,7.14%,200,-,24-07-2020,2020-07-24,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Apr-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,"1,800",-,22-04-2020,2020-04-22,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Oct-19,Unga Group Ltd,26.1,37,31.55,31.55,31.55,31.55,-,-,-,-,11-10-2019,2019-10-11,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Jul-20,Unga Group Ltd,26.1,34.05,28.05,28.05,28.05,28.05,-,-,-,-,21-07-2020,2020-07-21,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Sep-19,Unga Group Ltd,26.1,36.5,35,35,35,35,-,-,200,-,03-09-2019,2019-09-03,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Aug-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,-,-,28-08-2019,2019-08-28,Manufacturing and Allied,Unga Group Ltd
UNGA,23-Sep-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,23-09-2020,2020-09-23,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Mar-19,Unga Group Ltd,26.1,37,35,35,35,35,-,-,-,-,14-03-2019,2019-03-14,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Feb-19,Unga Group Ltd,26.1,37,36.2,36.25,36.2,36.1,0.1,0.28%,"3,900",-,14-02-2019,2019-02-14,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Apr-19,Unga Group Ltd,26.1,36.5,33.2,33.2,33.2,33.2,-,-,-,-,04-04-2019,2019-04-04,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Jan-20,Unga Group Ltd,26.1,37,33.8,33.8,33.8,33.8,-,-,-,-,06-01-2020,2020-01-06,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Jan-20,Unga Group Ltd,26.1,37,31.95,31.95,31.95,31.95,-,-,-,-,22-01-2020,2020-01-22,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Oct-19,Unga Group Ltd,26.1,37,34.6,34.6,34.6,34.6,-,-,-,-,03-10-2019,2019-10-03,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Dec-20,Unga Group Ltd,26.1,34.05,31,31,31,31,-,-,-,-,18-12-2020,2020-12-18,Manufacturing and Allied,Unga Group Ltd
UNGA,15-Jan-19,Unga Group Ltd,26.1,37,38.5,38.5,38.5,38.5,-,-,-,-,15-01-2019,2019-01-15,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Dec-20,Unga Group Ltd,26.1,34.05,31,31,31,31,-,-,-,-,21-12-2020,2020-12-21,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Jul-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,-,-,16-07-2019,2019-07-16,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Jan-20,Unga Group Ltd,26.1,37,32,32,32,32,-,-,-,-,08-01-2020,2020-01-08,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Dec-19,Unga Group Ltd,26.1,36.5,33,33,33,35.449999999999996,-2.45,6.91%,100,-,06-12-2019,2019-12-06,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Jul-19,Unga Group Ltd,26.1,37,37,37,37,36,1,2.78%,100,-,17-07-2019,2019-07-17,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Dec-19,Unga Group Ltd,26.1,37,32.75,32.75,32.75,32.75,-,-,-,-,03-12-2019,2019-12-03,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Sep-19,Unga Group Ltd,26.1,37,34,34,34,34,-,-,-,-,30-09-2019,2019-09-30,Manufacturing and Allied,Unga Group Ltd
UNGA,23-Jan-19,Unga Group Ltd,26.1,37,38.75,38.75,38.75,38.75,-,-,-,-,23-01-2019,2019-01-23,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Jan-20,Unga Group Ltd,26.1,37,31.95,31.95,31.95,31.95,-,-,-,-,21-01-2020,2020-01-21,Manufacturing and Allied,Unga Group Ltd
UNGA,13-May-20,Unga Group Ltd,26.1,37,28.1,28.1,28.1,28.1,-,-,-,-,13-05-2020,2020-05-13,Manufacturing and Allied,Unga Group Ltd
