CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
UNGA,05-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,05-08-2019,2019-08-05,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Feb-18,Unga Group Ltd,26.1,37,29.25,29.25,29.25,29.25,-,-,-,-,09-02-2018,2018-02-09,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Sep-19,Unga Group Ltd,26.1,36.5,32,32,32,32,-,-,-,-,10-09-2019,2019-09-10,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Sep-20,Unga Group Ltd,26.1,35,30,30,30,32,-2,6.25%,1100,-,28-09-2020,2020-09-28,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Feb-19,Unga Group Ltd,26.1,36.5,36.3,36.3,36.3,36.25,0.05,0.14%,500,-,19-02-2019,2019-02-19,Manufacturing and Allied,Unga Group Ltd
UNGA,13-Jul-18,Unga Group Ltd,26.1,37,39.25,39.25,39.25,39.25,-,-,-,-,13-07-2018,2018-07-13,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Jun-20,Unga Group Ltd,26.1,37,27.6,30,29.9,30,-0.1,0.33%,"2,100",-,10-06-2020,2020-06-10,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Jan-17,Unga Group Ltd,26.1,37,32,32,32,32.75,-0.75,2.29%,100,-,24-01-2017,2017-01-24,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Apr-18,Unga Group Ltd,26.1,37,40,40.25,40,40,-,-,"7,800",-,05-04-2018,2018-04-05,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Feb-14,Unga Group Ltd,26.1,36.5,23.5,23.5,23.5,23.5,-,-,"6,000",-,28-02-2014,2014-02-28,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Aug-15,Unga Group Ltd,26.1,37,45,45,45,45.5,-0.5,1.10%,100,-,25-08-2015,2015-08-25,Manufacturing and Allied,Unga Group Ltd
UNGA,1-Mar-13,Unga Group Ltd,26.1,37,14.4,14.5,14.450000000000001,14.55,-0.1,0.69%,"19,500",-,01-03-2013,2013-03-01,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Sep-20,Unga Group Ltd,26.1,34.05,30,30.05,30,30,-,-,2700,-,14-09-2020,2020-09-14,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Nov-16,Unga Group Ltd,26.1,37,34.5,34.75,34.5,34.75,-0.25,0.72%,"5,900",-,04-11-2016,2016-11-04,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Sep-14,Unga Group Ltd,26.1,37,34.25,35.25,34.75,35.25,-0.5,1.42%,700,-,22-09-2014,2014-09-22,Manufacturing and Allied,Unga Group Ltd
UNGA,5-Jun-15,Unga Group Ltd,26.1,36.5,44.75,44.75,44.75,45,-0.25,0.56%,"9,500",-,05-06-2015,2015-06-05,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Aug-15,Unga Group Ltd,26.1,37,41.5,43,42.75,40,2.75,6.88%,"1,100",-,10-08-2015,2015-08-10,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Feb-20,Unga Group Ltd,26.1,37,31,31,31,31,-,-,900,-,17-02-2020,2020-02-17,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Apr-16,Unga Group Ltd,26.1,36.5,35.25,35.25,35.25,35.25,-,-,-,-,22-04-2016,2016-04-22,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Aug-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,-,-,22-08-2019,2019-08-22,Manufacturing and Allied,Unga Group Ltd
UNGA,5-Sep-13,Unga Group Ltd,26.1,37,16.55,16.55,16.55,16.55,-,-,"7,100",-,05-09-2013,2013-09-05,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Aug-16,Unga Group Ltd,26.1,36.5,34.5,34.5,34.5,34.5,-,-,-,-,18-08-2016,2016-08-18,Manufacturing and Allied,Unga Group Ltd
UNGA,9-Jan-15,Unga Group Ltd,26.1,37,38.25,39.75,39.25,39.75,-0.5,1.26%,"6,300",-,09-01-2015,2015-01-09,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Sep-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,11-09-2020,2020-09-11,Manufacturing and Allied,Unga Group Ltd
UNGA,31-May-19,Unga Group Ltd,26.1,37,37,37.5,37.25,34.15,3.1,9.08%,"1,100",-,31-05-2019,2019-05-31,Manufacturing and Allied,Unga Group Ltd
UNGA,13-Nov-15,Unga Group Ltd,26.1,37,36,37,36.5,36.25,0.25,0.69%,"16,800",-,13-11-2015,2015-11-13,Manufacturing and Allied,Unga Group Ltd
UNGA,01-Mar-16,Unga Group Ltd,26.1,37,35,35.25,35,38.5,-3.5,9.09%,"4,600",-,01-03-2016,2016-03-01,Manufacturing and Allied,Unga Group Ltd
UNGA,28-May-13,Unga Group Ltd,26.1,37,15,15.65,15.450000000000001,15.5,-0.05,0.32%,"6,900",-,28-05-2013,2013-05-28,Manufacturing and Allied,Unga Group Ltd
UNGA,11-May-17,Unga Group Ltd,26.1,37,28.25,29.5,29.25,29,0.25,0.86%,"3,100",-,11-05-2017,2017-05-11,Manufacturing and Allied,Unga Group Ltd
UNGA,12-Feb-18,Unga Group Ltd,26.1,37,29.25,29.25,29.25,29.25,-,-,-,-,12-02-2018,2018-02-12,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Aug-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,07-08-2020,2020-08-07,Manufacturing and Allied,Unga Group Ltd
UNGA,12-Jan-15,Unga Group Ltd,26.1,37,38.5,38.5,38.5,39.25,-0.75,1.91%,"2,000",-,12-01-2015,2015-01-12,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Jul-18,Unga Group Ltd,26.1,37,39.25,39.25,39.25,39.25,-,-,-,-,16-07-2018,2018-07-16,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Sep-19,Unga Group Ltd,26.1,36.5,31.9,31.9,31.9,31.9,-,-,-,-,16-09-2019,2019-09-16,Manufacturing and Allied,Unga Group Ltd
UNGA,03-May-19,Unga Group Ltd,26.1,36.5,34.3,34.3,34.3,34.3,-,-,-,-,03-05-2019,2019-05-03,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Jun-17,Unga Group Ltd,26.1,36.5,32,32,32,32,-,-,100,-,19-06-2017,2017-06-19,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Jan-15,Unga Group Ltd,26.1,37,38.5,43.25,43,39.75,3.25,8.18%,"53,400",-,21-01-2015,2015-01-21,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Jun-18,Unga Group Ltd,26.1,37,40,40.5,40.25,40.75,-0.5,1.23%,"50,100",-,06-06-2018,2018-06-06,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Jan-14,Unga Group Ltd,26.1,36.5,19,19.5,19.45,20,-0.55,2.75%,"9,800",-,22-01-2014,2014-01-22,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Dec-19,Unga Group Ltd,26.1,37,31.9,31.9,31.9,31.9,-,-,-,-,16-12-2019,2019-12-16,Manufacturing and Allied,Unga Group Ltd
UNGA,4-Sep-13,Unga Group Ltd,26.1,37,16.55,16.55,16.55,16.5,0.05,0.30%,"2,300",-,04-09-2013,2013-09-04,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Aug-16,Unga Group Ltd,26.1,36.5,34.5,34.5,34.5,34.5,-,-,-,-,17-08-2016,2016-08-17,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Apr-20,Unga Group Ltd,26.1,37,26.1,26.5,26.4,26.1,0.3,1.15%,700,-,14-04-2020,2020-04-14,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Apr-19,Unga Group Ltd,26.1,37,34.3,34.3,34.3,31.2,3.1,9.94%,500,-,25-04-2019,2019-04-25,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Oct-19,Unga Group Ltd,26.1,37,31.5,32,31.55,31.650000000000002,-0.1,0.32%,"1,200",-,08-10-2019,2019-10-08,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Jul-16,Unga Group Ltd,26.1,36.5,34.5,34.5,34.5,34,0.5,1.47%,600,-,04-07-2016,2016-07-04,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Nov-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,18-11-2020,2020-11-18,Manufacturing and Allied,Unga Group Ltd
